instance_key,method,run_label,A,B,E_best,E_best_improved,chain_strength,engine,gap_F_imp_vs_exact,has_exact_ref,imp_E_qubo,imp_F_markowitz,imp_feasible,imp_penalty,imp_sum_z,improve_engine,n,num_reads,q,qpu_solver,raw_E_qubo,raw_F_markowitz,raw_feasible,raw_penalty,raw_sum_z,reason,runtime_s,solver_info,status,time_limit,used_embedding
"(10, 5, 0.8, 'synthetic_factor', 2027)",dwave_qpu,first,3.9516868936486538,5,-98.745808096479962,-98.745808096479962,12.447813714993259,dwave.QPU,0,True,-98.745808096479962,0.0463642447364047,True,0,5,python.local_descent,10,3000,0.80000000000000004,Advantage_system4.1,-98.745808096479962,0.0463642447364047,True,0,5,,1.7771971225738523,"{'embedding_stats': {'mean_chain': 1.8, 'max_chain': 2, 'n_logical': 10}, 'timing': {'qpu_sampling_time': 431040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.1, 'qpu_access_time': 446799.16, 'qpu_access_overhead_time': 7090.84, 'qpu_programming_time': 15759.16, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.0}",ok,,FixedEmbeddingComposite(minorminer cached)
"(10, 5, 0.8, 'synthetic_factor', 2027)",exact,second,3.9516868936486538,5,-98.745808096479962,-98.745808096479962,,dimod.ExactSolver,0,True,-98.745808096479962,0.0463642447364047,True,0,5,python.local_descent,10,,0.80000000000000004,,-98.745808096479962,0.0463642447364047,True,0,5,,0.0010018348693846999,,ok,,
"(10, 5, 0.8, 'synthetic_factor', 2027)",sa,first,3.9516868936486538,5,-98.745808096479877,-98.745808096479962,,neal.SA,0,True,-98.745808096479962,0.0463642447364047,True,0,5,python.local_descent,10,,0.80000000000000004,,-98.745808096479962,0.0463642447364047,True,0,5,,0.9587562084197998,,ok,,
"(10, 5, 0.8, 'synthetic_factor', 2027)",tabu,first,3.9516868936486538,5,-98.745808096479962,-98.745808096479962,,tabu,0,True,-98.745808096479962,0.0463642447364047,True,0,5,python.local_descent,10,,0.80000000000000004,,-98.745808096479962,0.0463642447364047,True,0,5,,8.0016140937805176,,ok,,
"(20, 10, 0.2, 'synthetic_factor', 2028)",dwave_hybrid,first,1.0926672158620376,10,-109.28565803309968,-109.28565803309964,,dwave.Hybrid,0.0029101900741407001,True,-109.28565803309964,-0.018936446895931599,True,0,10,python.local_descent,20,,0.20000000000000001,,-109.28565803309964,-0.018936446895931599,True,0,10,,13.1249840259552,"{'qpu_access_time': 516208, 'charge_time': 9986501, 'run_time': 9986501, 'problem_id': 'ad4d5ca8-9eba-4550-9a51-564742a48bfd', 'problem_data_id': 'cdba7152-a6bf-4fac-baea-b44790226d2c'}",ok,10,
"(20, 10, 0.2, 'synthetic_factor', 2028)",dwave_qpu,first,1.0926672158620376,10,-109.131349546075,-109.13134954607504,3.4419017299654189,dwave.QPU,0.15721867709882409,True,-109.13134954607504,0.13537204012875181,True,0,10,python.local_descent,20,3000,0.20000000000000001,Advantage_system4.1,-109.13134954607504,0.13537204012875181,True,0,10,,1.8209099769592283,"{'embedding_stats': {'mean_chain': 2.7, 'max_chain': 3, 'n_logical': 20}, 'timing': {'qpu_sampling_time': 568440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.9, 'qpu_access_time': 584199.96, 'qpu_access_overhead_time': 8035.04, 'qpu_programming_time': 15759.96, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.3}",ok,,FixedEmbeddingComposite(minorminer cached)
"(20, 10, 0.2, 'synthetic_factor', 2028)",exact,first,1.0926672158620376,10,-109.28856822317384,-109.28856822317375,,dimod.ExactSolver,0,True,-109.28856822317375,-0.021846636970072299,True,0,10,python.local_descent,20,,0.20000000000000001,,-109.28856822317375,-0.021846636970072299,True,0,10,,1.2905857563018801,,ok,,
"(20, 10, 0.2, 'synthetic_factor', 2028)",sa,first,1.0926672158620376,10,-109.28856822317398,-109.28856822317375,,neal.SA,0,True,-109.28856822317375,-0.021846636970072299,True,0,10,python.local_descent,20,,0.20000000000000001,,-109.28856822317375,-0.021846636970072299,True,0,10,,2.455711841583252,,ok,,
"(20, 10, 0.2, 'synthetic_factor', 2028)",tabu,first,1.0926672158620376,10,-109.28856822317384,-109.28856822317375,,tabu,0,True,-109.28856822317375,-0.021846636970072299,True,0,10,python.local_descent,20,,0.20000000000000001,,-109.28856822317375,-0.021846636970072299,True,0,10,,8.0010960102081299,,ok,,
"(20, 10, 0.5, 'synthetic_factor', 2029)",dwave_hybrid,first,1.9881303526407537,10,-198.83416568924252,-198.83416568924292,,dwave.Hybrid,0,True,-198.83416568924292,-0.0211304251673699,True,0,10,python.local_descent,20,,0.5,,-198.83416568924292,-0.0211304251673699,True,0,10,,13.705933094024658,"{'qpu_access_time': 516275, 'charge_time': 9997252, 'run_time': 9997252, 'problem_id': '50b09d66-445e-4c59-ab53-8614ece13bf3', 'problem_data_id': '90f5ebaa-569f-4292-ba20-9693cc73ea39'}",ok,10,
"(20, 10, 0.5, 'synthetic_factor', 2029)",dwave_qpu,first,1.9881303526407537,10,-198.55488258069991,-198.55488258069985,6.2549602447255079,dwave.QPU,0.27928310854286981,True,-198.55488258069985,0.2581526833754999,True,0,10,python.local_descent,20,3000,0.5,Advantage_system4.1,-198.55488258069985,0.2581526833754999,True,0,10,,1.8047029972076416,"{'embedding_stats': {'mean_chain': 2.7, 'max_chain': 3, 'n_logical': 20}, 'timing': {'qpu_sampling_time': 568440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.9, 'qpu_access_time': 584199.96, 'qpu_access_overhead_time': 1822.04, 'qpu_programming_time': 15759.96, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 24.0, 'total_post_processing_time': 24.0}, 'chain_break_fraction': 0.15}",ok,,FixedEmbeddingComposite(minorminer cached)
"(20, 10, 0.5, 'synthetic_factor', 2029)",exact,first,1.9881303526407537,10,-198.83416568924252,-198.83416568924292,,dimod.ExactSolver,0,True,-198.83416568924292,-0.0211304251673699,True,0,10,python.local_descent,20,,0.5,,-198.83416568924292,-0.0211304251673699,True,0,10,,1.2806360721588137,,ok,,
"(20, 10, 0.5, 'synthetic_factor', 2029)",sa,second,1.9881303526407537,10,-198.82502591188299,-198.8250259118829,,neal.SA,0.0091397773597827001,True,-198.8250259118829,-0.0119906478075871,True,0,10,python.local_descent,20,,0.5,,-198.8250259118829,-0.0119906478075871,True,0,10,,65.207352876663208,,ok,,
"(20, 10, 0.5, 'synthetic_factor', 2029)",tabu,first,1.9881303526407537,10,-198.83416568924252,-198.83416568924292,,tabu,0,True,-198.83416568924292,-0.0211304251673699,True,0,10,python.local_descent,20,,0.5,,-198.83416568924292,-0.0211304251673699,True,0,10,,8.0017910003662109,,ok,,
"(20, 10, 0.8, 'synthetic_factor', 2030)",dwave_hybrid,first,4.2749190902692664,10,-427.44797588661856,-427.44797588661896,,dwave.Hybrid,0.0034250429127721999,True,-427.44797588661896,0.043933140307894303,True,0,10,python.local_descent,20,,0.80000000000000004,,-427.44797588661896,0.043933140307894303,True,0,10,,13.275094985961914,"{'qpu_access_time': 479404, 'charge_time': 9997657, 'run_time': 9997657, 'problem_id': '799f1e58-f4fa-4a4d-9c9e-fb600a33a1e2', 'problem_data_id': 'e92f1339-e0dd-4ad7-b0d1-30e146e35db3'}",ok,10,
"(20, 10, 0.8, 'synthetic_factor', 2030)",dwave_qpu,first,4.2749190902692664,10,-427.40603357124019,-427.40603357124019,13.433548092776061,dwave.QPU,0.0453673582915766,True,-427.40603357124019,0.085875455686698701,True,0,10,python.local_descent,20,3000,0.80000000000000004,Advantage_system4.1,-427.40603357124019,0.085875455686698701,True,0,10,,1.863508939743042,"{'embedding_stats': {'mean_chain': 2.7, 'max_chain': 3, 'n_logical': 20}, 'timing': {'qpu_sampling_time': 568440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.9, 'qpu_access_time': 584199.56, 'qpu_access_overhead_time': 7733.44, 'qpu_programming_time': 15759.56, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.25}",ok,,FixedEmbeddingComposite(minorminer cached)
"(20, 10, 0.8, 'synthetic_factor', 2030)",exact,first,4.2749190902692664,10,-427.45140092953147,-427.45140092953147,,dimod.ExactSolver,0,True,-427.45140092953147,0.040508097395122102,True,0,10,python.local_descent,20,,0.80000000000000004,,-427.45140092953147,0.040508097395122102,True,0,10,,1.2757668495178225,,ok,,
"(20, 10, 0.8, 'synthetic_factor', 2030)",sa,second,4.2749190902692664,10,-427.4463720959024,-427.4463720959028,,neal.SA,0.0050288336286633002,True,-427.4463720959028,0.0455369310237854,True,0,10,python.local_descent,20,,0.80000000000000004,,-427.4463720959028,0.0455369310237854,True,0,10,,61.660563230514526,,ok,,
