method,n,mean_gap,median_gap,max_gap,n_instances
dwave_hybrid,10,0.0,0.0,0.0,3
dwave_qpu,10,0.0,0.0,0.0,3
exact,10,0.0,0.0,0.0,3
sa,10,0.0,0.0,0.0,3
tabu,10,0.0,0.0,0.0,3
dwave_hybrid,20,0.002111744328970967,0.0029101900741407,0.0034250429127722,3
dwave_qpu,20,0.16062304797775684,0.1572186770988241,0.2792831085428698,3
exact,20,0.0,0.0,0.0,3
sa,20,0.009444455005409434,0.0115385705047016,0.0167947945115267,3
tabu,20,0.0,0.0,0.0,3
