instance_key,method,engine,status,reason,n,B,q,A,runtime_s,E_best,E_best_improved,improve_engine,raw_sum_z,raw_feasible,raw_F_markowitz,raw_penalty,raw_E_qubo,imp_sum_z,imp_feasible,imp_F_markowitz,imp_penalty,imp_E_qubo,solver_info,time_limit,qpu_solver,used_embedding,chain_strength,num_reads,gap_F_imp_vs_exact,has_exact_ref
"(10, 5, 0.8, 'synthetic_factor', 2027)",dwave_hybrid,dwave.Hybrid,ok,,10,5,0.8,3.9516868936486538,13.205096006393433,-98.74580809647996,-98.74580809647996,python.local_descent,5.0,True,0.04636424473640476,0.0,-98.74580809647996,5.0,True,0.04636424473640476,0.0,-98.74580809647996,"{'qpu_access_time': 500239, 'charge_time': 9982675, 'run_time': 9982675, 'problem_id': '3e032c32-4166-41af-87cd-503049ee1eeb', 'problem_data_id': 'ebb4cd92-4a03-46ba-8dba-4a5bdddd4e9a'}",10.0,,,,,0.0,True
"(10, 5, 0.8, 'synthetic_factor', 2027)",dwave_qpu,dwave.QPU,ok,,10,5,0.8,3.9516868936486538,1.7771971225738525,-98.74580809647996,-98.74580809647996,python.local_descent,5.0,True,0.04636424473640476,0.0,-98.74580809647996,5.0,True,0.04636424473640476,0.0,-98.74580809647996,"{'embedding_stats': {'mean_chain': 1.8, 'max_chain': 2, 'n_logical': 10}, 'timing': {'qpu_sampling_time': 431040.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 103.1, 'qpu_access_time': 446799.16, 'qpu_access_overhead_time': 7090.84, 'qpu_programming_time': 15759.16, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.0}",,Advantage_system4.1,FixedEmbeddingComposite(minorminer cached),12.44781371499326,3000.0,0.0,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",exact,dimod.ExactSolver,ok,,20,10,0.2,1.0926672158620376,1.2905857563018799,-109.28856822317384,-109.28856822317375,python.local_descent,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,,,,,,,0.0,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",sa,neal.SA,ok,,20,10,0.2,1.0926672158620376,2.455711841583252,-109.28856822317398,-109.28856822317375,python.local_descent,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,,,,,,,0.0,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",tabu,tabu,ok,,20,10,0.2,1.0926672158620376,8.00109601020813,-109.28856822317384,-109.28856822317375,python.local_descent,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,,,,,,,0.0,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",dwave_hybrid,dwave.Hybrid,ok,,20,10,0.2,1.0926672158620376,13.1249840259552,-109.28565803309968,-109.28565803309965,python.local_descent,10.0,True,-0.018936446895931665,0.0,-109.28565803309965,10.0,True,-0.018936446895931665,0.0,-109.28565803309965,"{'qpu_access_time': 516208, 'charge_time': 9986501, 'run_time': 9986501, 'problem_id': 'ad4d5ca8-9eba-4550-9a51-564742a48bfd', 'problem_data_id': 'cdba7152-a6bf-4fac-baea-b44790226d2c'}",10.0,,,,,0.0029101900741407005,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",dwave_qpu,dwave.QPU,ok,,20,10,0.2,1.0926672158620376,1.8209099769592285,-109.13134954607501,-109.13134954607503,python.local_descent,10.0,True,0.1353720401287518,0.0,-109.13134954607503,10.0,True,0.1353720401287518,0.0,-109.13134954607503,"{'embedding_stats': {'mean_chain': 2.7, 'max_chain': 3, 'n_logical': 20}, 'timing': {'qpu_sampling_time': 568440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.9, 'qpu_access_time': 584199.96, 'qpu_access_overhead_time': 8035.04, 'qpu_programming_time': 15759.96, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 1.0, 'total_post_processing_time': 1.0}, 'chain_break_fraction': 0.3}",,Advantage_system4.1,FixedEmbeddingComposite(minorminer cached),3.441901729965419,3000.0,0.15721867709882417,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",exact,dimod.ExactSolver,ok,,20,10,0.5,1.9881303526407539,1.2806360721588135,-198.83416568924255,-198.83416568924295,python.local_descent,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,,,,,,,0.0,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",sa,neal.SA,ok,,20,10,0.5,1.9881303526407539,2.4007458686828613,-198.81737089473123,-198.8173708947311,python.local_descent,10.0,True,-0.00433563065584313,0.0,-198.8173708947311,10.0,True,-0.00433563065584313,0.0,-198.8173708947311,,,,,,,0.016794794511526774,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",tabu,tabu,ok,,20,10,0.5,1.9881303526407539,8.001791000366211,-198.83416568924255,-198.83416568924295,python.local_descent,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,,,,,,,0.0,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",dwave_hybrid,dwave.Hybrid,ok,,20,10,0.5,1.9881303526407539,13.705933094024658,-198.83416568924255,-198.83416568924295,python.local_descent,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,10.0,True,-0.021130425167369904,0.0,-198.83416568924295,"{'qpu_access_time': 516275, 'charge_time': 9997252, 'run_time': 9997252, 'problem_id': '50b09d66-445e-4c59-ab53-8614ece13bf3', 'problem_data_id': '90f5ebaa-569f-4292-ba20-9693cc73ea39'}",10.0,,,,,0.0,True
"(20, 10, 0.5, 'synthetic_factor', 2029)",dwave_qpu,dwave.QPU,ok,,20,10,0.5,1.9881303526407539,1.8047029972076416,-198.5548825806999,-198.55488258069983,python.local_descent,10.0,True,0.25815268337549996,0.0,-198.55488258069983,10.0,True,0.25815268337549996,0.0,-198.55488258069983,"{'embedding_stats': {'mean_chain': 2.7, 'max_chain': 3, 'n_logical': 20}, 'timing': {'qpu_sampling_time': 568440.0, 'qpu_anneal_time_per_sample': 20.0, 'qpu_readout_time_per_sample': 148.9, 'qpu_access_time': 584199.96, 'qpu_access_overhead_time': 1822.04, 'qpu_programming_time': 15759.96, 'qpu_delay_time_per_sample': 20.58, 'post_processing_overhead_time': 24.0, 'total_post_processing_time': 24.0}, 'chain_break_fraction': 0.15}",,Advantage_system4.1,FixedEmbeddingComposite(minorminer cached),6.254960244725508,3000.0,0.27928310854286986,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",exact,dimod.ExactSolver,ok,,20,10,0.8,4.274919090269266,1.2757668495178223,-427.4514009295315,-427.4514009295315,python.local_descent,10.0,True,0.04050809739512216,0.0,-427.4514009295315,10.0,True,0.04050809739512216,0.0,-427.4514009295315,,,,,,,0.0,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",sa,neal.SA,ok,,20,10,0.8,4.274919090269266,2.2616019248962402,-427.4398623590263,-427.43986235902685,python.local_descent,10.0,True,0.052046667899823804,0.0,-427.43986235902685,10.0,True,0.052046667899823804,0.0,-427.43986235902685,,,,,,,0.011538570504701647,True
"(20, 10, 0.8, 'synthetic_factor', 2030)",tabu,tabu,ok,,20,10,0.8,4.274919090269266,8.001927852630615,-427.4514009295315,-427.4514009295315,python.local_descent,10.0,True,0.04050809739512216,0.0,-427.4514009295315,10.0,True,0.04050809739512216,0.0,-427.4514009295315,,,,,,,0.0,True
