instance_key,method,engine,status,reason,n,B,q,A,runtime_s,E_best,E_best_improved,improve_engine,raw_sum_z,raw_feasible,raw_F_markowitz,raw_penalty,raw_E_qubo,imp_sum_z,imp_feasible,imp_F_markowitz,imp_penalty,imp_E_qubo,gap_F_imp_vs_exact,has_exact_ref
"(10, 5, 0.2, 'synthetic_factor', 2025)",exact,dimod.ExactSolver,ok,,10,5,0.2,0.8835012474720312,0.0024938583374023438,-22.088805861447536,-22.088805861447536,python.local_descent,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,0.0,True
"(10, 5, 0.2, 'synthetic_factor', 2025)",sa,neal.SA,ok,,10,5,0.2,0.8835012474720312,23.70317006111145,-22.088805861447536,-22.088805861447536,python.local_descent,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,0.0,True
"(10, 5, 0.2, 'synthetic_factor', 2025)",tabu,tabu,ok,,10,5,0.2,0.8835012474720312,60.00193691253662,-22.088805861447536,-22.088805861447536,python.local_descent,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,5.0,True,-0.001274674646756832,0.0,-22.088805861447536,0.0,True
"(10, 5, 0.5, 'synthetic_factor', 2026)",exact,dimod.ExactSolver,ok,,10,5,0.5,1.578341484060211,0.0009679794311523438,-39.41615524694852,-39.41615524694853,python.local_descent,5.0,True,0.042381854556754216,0.0,-39.41615524694853,5.0,True,0.042381854556754216,0.0,-39.41615524694853,0.0,True
"(10, 5, 0.5, 'synthetic_factor', 2026)",sa,neal.SA,ok,,10,5,0.5,1.578341484060211,26.623756885528564,-39.41615524694849,-39.41615524694853,python.local_descent,5.0,True,0.042381854556754216,0.0,-39.41615524694853,5.0,True,0.042381854556754216,0.0,-39.41615524694853,0.0,True
"(10, 5, 0.5, 'synthetic_factor', 2026)",tabu,tabu,ok,,10,5,0.5,1.578341484060211,60.001643896102905,-39.41615524694852,-39.41615524694853,python.local_descent,5.0,True,0.042381854556754216,0.0,-39.41615524694853,5.0,True,0.042381854556754216,0.0,-39.41615524694853,0.0,True
"(10, 5, 0.8, 'synthetic_factor', 2027)",exact,dimod.ExactSolver,ok,,10,5,0.8,3.9516868936486538,0.0010018348693847656,-98.74580809647996,-98.74580809647996,python.local_descent,5.0,True,0.04636424473640476,0.0,-98.74580809647996,5.0,True,0.04636424473640476,0.0,-98.74580809647996,0.0,True
"(10, 5, 0.8, 'synthetic_factor', 2027)",sa,neal.SA,ok,,10,5,0.8,3.9516868936486538,26.33238673210144,-98.74580809647989,-98.74580809647996,python.local_descent,5.0,True,0.04636424473640476,0.0,-98.74580809647996,5.0,True,0.04636424473640476,0.0,-98.74580809647996,0.0,True
"(10, 5, 0.8, 'synthetic_factor', 2027)",tabu,tabu,ok,,10,5,0.8,3.9516868936486538,60.00128221511841,-98.74580809647996,-98.74580809647996,python.local_descent,5.0,True,0.04636424473640476,0.0,-98.74580809647996,5.0,True,0.04636424473640476,0.0,-98.74580809647996,0.0,True
"(20, 10, 0.2, 'synthetic_factor', 2028)",exact,dimod.ExactSolver,ok,,20,10,0.2,1.0926672158620376,1.2931511402130127,-109.28856822317384,-109.28856822317375,python.local_descent,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,10.0,True,-0.021846636970072365,0.0,-109.28856822317375,0.0,True
