instance_key,method,engine,status,reason,n,B,q,A,runtime_s,E_best,E_best_improved,improve_engine,raw_sum_z,raw_feasible,raw_F_markowitz,raw_penalty,raw_E_qubo,imp_sum_z,imp_feasible,imp_F_markowitz,imp_penalty,imp_E_qubo,gap_F_imp_vs_exact,has_exact_ref
"(30, 15, 0.2, 'synthetic_factor', 2031)",tabu,tabu,ok,,30,15,0.2,0.9793890965108748,60.001938819885254,-220.49051023082183,-220.49051023082168,python.local_descent,15.0,True,-0.12796351587501686,0.0,-220.49051023082168,15.0,True,-0.12796351587501686,0.0,-220.49051023082168,,False
"(30, 15, 0.5, 'synthetic_factor', 2032)",exact,,skipped,n=30 > max_n=24,30,15,0.5,3.137305717679863,,,,,,,,,,,,,,,,False
"(30, 15, 0.5, 'synthetic_factor', 2032)",sa,neal.SA,ok,,30,15,0.5,3.137305717679863,124.92471194267273,-705.8741051059966,-705.8741051059952,python.local_descent,15.0,True,0.01968137197306187,0.0,-705.8741051059952,15.0,True,0.01968137197306187,0.0,-705.8741051059952,,False
"(30, 15, 0.5, 'synthetic_factor', 2032)",tabu,tabu,ok,,30,15,0.5,3.137305717679863,60.00220489501953,-705.918966511157,-705.9189665111563,python.local_descent,15.0,True,-0.02518003318807424,0.0,-705.9189665111563,15.0,True,-0.02518003318807424,0.0,-705.9189665111563,,False
"(30, 15, 0.8, 'synthetic_factor', 2033)",exact,,skipped,n=30 > max_n=24,30,15,0.8,4.108212052596254,,,,,,,,,,,,,,,,False
"(30, 15, 0.8, 'synthetic_factor', 2033)",sa,neal.SA,ok,,30,15,0.8,4.108212052596254,127.47938513755798,-924.2542460239525,-924.2542460239482,python.local_descent,15.0,True,0.0934658102096856,0.0,-924.2542460239482,15.0,True,0.0934658102096856,0.0,-924.2542460239482,,False
"(30, 15, 0.8, 'synthetic_factor', 2033)",tabu,tabu,ok,,30,15,0.8,4.108212052596254,60.00138211250305,-924.2731080488186,-924.2731080488196,python.local_descent,15.0,True,0.07460378533866158,0.0,-924.2731080488196,15.0,True,0.07460378533866158,0.0,-924.2731080488196,,False
"(40, 20, 0.2, 'synthetic_factor', 2034)",exact,,skipped,n=40 > max_n=24,40,20,0.2,1.1024894310024353,,,,,,,,,,,,,,,,False
"(40, 20, 0.2, 'synthetic_factor', 2034)",sa,neal.SA,ok,,40,20,0.2,1.1024894310024353,189.99472999572754,-441.1795323428273,-441.1795323428259,python.local_descent,20.0,True,-0.18375994185122846,0.0,-441.1795323428259,20.0,True,-0.18375994185122846,0.0,-441.1795323428259,,False
"(40, 20, 0.2, 'synthetic_factor', 2034)",tabu,tabu,ok,,40,20,0.2,1.1024894310024353,60.00194573402405,-441.22235233742947,-441.22235233742975,python.local_descent,20.0,True,-0.22657993645518654,0.0,-441.22235233742975,20.0,True,-0.22657993645518654,0.0,-441.22235233742975,,False
"(40, 20, 0.5, 'synthetic_factor', 2035)",exact,,skipped,n=40 > max_n=24,40,20,0.5,2.589178234556245,,,,,,,,,,,,,,,,False
"(40, 20, 0.5, 'synthetic_factor', 2035)",sa,neal.SA,ok,,40,20,0.5,2.589178234556245,177.13034200668335,-1035.5675324899473,-1035.5675324899453,python.local_descent,20.0,True,0.10376133255360508,0.0,-1035.5675324899453,20.0,True,0.10376133255360508,0.0,-1035.5675324899453,,False
"(40, 20, 0.5, 'synthetic_factor', 2035)",tabu,tabu,ok,,40,20,0.5,2.589178234556245,60.00223398208618,-1035.6618110254249,-1035.6618110254249,python.local_descent,20.0,True,0.009482797073733062,0.0,-1035.6618110254249,20.0,True,0.009482797073733062,0.0,-1035.6618110254249,,False
"(40, 20, 0.8, 'synthetic_factor', 2036)",exact,,skipped,n=40 > max_n=24,40,20,0.8,4.417527201995208,,,,,,,,,,,,,,,,False
"(40, 20, 0.8, 'synthetic_factor', 2036)",sa,neal.SA,ok,,40,20,0.8,4.417527201995208,218.07898879051208,-1766.8593056382517,-1766.8593056382533,python.local_descent,20.0,True,0.15157515983048206,0.0,-1766.8593056382533,20.0,True,0.15157515983048206,0.0,-1766.8593056382533,,False
"(40, 20, 0.8, 'synthetic_factor', 2036)",tabu,tabu,ok,,40,20,0.8,4.417527201995208,60.00153207778931,-1766.886863117044,-1766.8868631170421,python.local_descent,20.0,True,0.1240176810391428,0.0,-1766.8868631170421,20.0,True,0.1240176810391428,0.0,-1766.8868631170421,,False
