method,n,mean_gap,median_gap,max_gap,n_instances
exact,10,0.0,0.0,0.0,3
sa,10,0.0,0.0,0.0,3
tabu,10,0.0,0.0,0.0,3
exact,20,0.0,0.0,0.0,3
sa,20,0.0059943074887366665,0.0050288336286633,0.0091397773597827,3
tabu,20,0.0,0.0,0.0,3
